9.344915617059971202e-01 1.952884579069971427e-01 1.964246850788124200e-03 8.068968144215841187e-01
1.543915043987672764e+00 2.128426524917763629e-01 2.002743123282018246e-03 8.706087299268125967e-01
1.991363350908948116e+00 2.285833299194872104e-01 2.510267278811383323e-03 8.807065620642721138e-01
1.134487419744980352e+00 2.476920722476709247e-01 2.251095879953439807e-03 7.959768516696548168e-01
1.251968438063503664e+00 2.143075341554011304e-01 1.794127145993849566e-03 8.467950456303678930e-01
1.662155317756033757e+00 2.561490963390321562e-01 1.128046419126907830e-03 8.619580779338703591e-01
1.475348096591324376e+00 2.075355295679055523e-01 2.499008214344704357e-03 8.688878559156810732e-01
1.055428022259858434e+00 2.026711895952191811e-01 1.464965387004831757e-03 8.211921385075635627e-01
1.143446774101280150e+00 2.195209080461228146e-01 2.234240444701092974e-03 8.091774260283800535e-01
1.298856159599497628e+00 2.456084302604888414e-01 9.282281121613777507e-04 8.193747969675878595e-01
1.198289335814139323e+00 1.667262155964582826e-01 1.717482051164420133e-03 8.780498353401895439e-01
1.691124665724586418e+00 2.408780984757717125e-01 1.486680612889092114e-03 8.493952347142722514e-01
1.617241748312324923e+00 2.594077723895643617e-01 2.006158774630708175e-03 8.536278397427692344e-01
7.265752686556028461e-01 2.003241207802910206e-01 2.742085842954139225e-03 7.214504581998852917e-01
1.478575676753126178e+00 2.320543234524188037e-01 2.752922474531555638e-03 8.544764719121554775e-01
1.441069421476668611e+00 2.073775667445694471e-01 1.735156933060844368e-03 8.529151012214972738e-01
2.058281731423885930e+00 2.472017447839136572e-01 2.023703856032135328e-03 8.923454568252777719e-01
1.376858249357362673e+00 2.461642239552431222e-01 1.518014014312978359e-03 8.462135537923100026e-01
1.704646785712557788e+00 2.396970244234011838e-01 1.144790649203230801e-03 8.678261135738626342e-01
1.286732872331774580e+00 1.681996622836906263e-01 1.023393102820511049e-03 8.991860579245437579e-01
1.187572485827401048e+00 2.580534859915093460e-01 1.236136250142045407e-03 7.670199150677619038e-01
2.145271496256408117e+00 3.199079423045733117e-01 3.463368384950486940e-03 8.473427642767628054e-01
7.596872174898189334e-01 2.017971868207024955e-01 8.463016587231817281e-04 7.319666955549025689e-01
